track_id, track_name, track_reference
1037770,White Christmas (feat. Clyde McPhatter & Bill Pinkney),https://www.iheart.com/artist/the-drifters-1393/songs/white-christmas-feat-clyde-mcphatter-bill-pinkney-1037770/
2951575,Winter Wonderland,https://www.iheart.com/artist/air-supply-2618/songs/winter-wonderland-2951575/
2879327,Jingle Bells,https://www.iheart.com/artist/the-ray-conniff-singers-104851/songs/jingle-bells-2879327/
2596161,Silver Bells,https://www.iheart.com/artist/andy-williams-16425/songs/silver-bells-2596161/
23734118,"Baby, It's Cold Outside",https://www.iheart.com/artist/dean-martin-6555/songs/baby-its-cold-outside-23734118/
89181249,Do You Hear What I Hear,https://www.iheart.com/artist/bing-crosby-1864/songs/do-you-hear-what-i-hear-89181249/
19309448,"You're A Mean One, Mr. Grinch",https://www.iheart.com/artist/thurl-ravenscroft-89607/songs/youre-a-mean-one-mr-grinch-19309448/
1801893,Rudolph the Red-Nosed Reindeer,https://www.iheart.com/artist/harry-connick-jr-41411/songs/rudolph-the-red-nosed-reindeer-1801893/
10432850,Last Christmas,https://www.iheart.com/artist/glee-30032566/songs/last-christmas-10432850/
2596100,Sleigh Ride,https://www.iheart.com/artist/andy-williams-16425/songs/sleigh-ride-2596100/
2513317,Christmas (Baby Please Come Home),https://www.iheart.com/artist/darlene-love-118320/songs/christmas-baby-please-come-home-2513317/
3899297,Have a Holly Jolly Christmas,https://www.iheart.com/artist/johnny-mathis-14581/songs/have-a-holly-jolly-christmas-3899297/
13628527,Winter Wonderland,https://www.iheart.com/artist/tony-bennett-2564/songs/winter-wonderland-13628527/
23451554,O Holy Night,https://www.iheart.com/artist/martina-mcbride-35319/songs/o-holy-night-23451554/
2459211,"Let It Snow, Let It Snow, Let It Snow",https://www.iheart.com/artist/michael-buble-58319/songs/let-it-snow-let-it-snow-let-it-snow-2459211/
19567932,Do You Hear What I Hear?,https://www.iheart.com/artist/jordin-sparks-57699/songs/do-you-hear-what-i-hear-19567932/
2728386,Frosty the Snowman,https://www.iheart.com/artist/ray-conniff-104848/songs/frosty-the-snowman-2728386/
